Company,Review Date,Cocoa Percentage,Company Location,Rating,Bean Origin,Broad Bean Origin,Bean Type
A. Morin,2016,0.63,France,3.75,Agua Grande,Sao Tome,Unknown
A. Morin,2015,0.7,France,2.75,Kpime,Togo,Unknown
A. Morin,2015,0.7,France,3.0,Atsane,Togo,Unknown
A. Morin,2015,0.7,France,3.5,Akata,Togo,Unknown
A. Morin,2015,0.7,France,3.5,Quilla,Peru,Unknown
A. Morin,2014,0.7,France,2.75,Carenero,Venezuela,Criollo
A. Morin,2014,0.7,France,3.5,Cuba,Cuba,Unknown
A. Morin,2014,0.7,France,3.5,Sur del Lago,Venezuela,Criollo
A. Morin,2014,0.7,France,3.75,Puerto Cabello,Venezuela,Criollo
A. Morin,2014,0.7,France,4.0,Pablino,Peru,Unknown
A. Morin,2013,0.7,France,2.75,Panama,Panama,Unknown
A. Morin,2013,0.7,France,3.0,Madagascar,Madagascar,Criollo
A. Morin,2013,0.7,France,3.25,Brazil,Brazil,Unknown
A. Morin,2013,0.7,France,3.75,Equateur,Ecuador,Unknown
A. Morin,2013,0.7,France,2.75,Colombia,Colombia,Unknown
A. Morin,2013,0.7,France,3.0,Birmanie,Burma,Unknown
A. Morin,2013,0.7,France,3.25,Papua New Guinea,Papua New Guinea,Unknown
A. Morin,2013,0.7,France,4.0,Chuao,Venezuela,Trinitario
A. Morin,2013,0.7,France,3.25,Piura,Peru,Unknown
A. Morin,2013,0.7,France,3.5,Chanchamayo,Peru,Unknown
A. Morin,2013,0.63,France,4.0,Chanchamayo,Peru,Unknown
A. Morin,2012,0.7,France,3.5,Bolivia,Bolivia,Unknown
A. Morin,2012,0.63,France,3.75,Peru,Peru,Unknown
Adi,2011,0.6,Fiji,2.75,Vanua Levu,Fiji,Trinitario
Adi,2011,0.8,Fiji,3.25,Vanua Levu,Fiji,Trinitario
Adi,2011,0.88,Fiji,3.5,Vanua Levu,Fiji,Trinitario
Adi,2011,0.72,Fiji,3.5,Vanua Levu,Fiji,Trinitario
Akesson's (Pralus),2011,0.75,Switzerland,3.75,Bali,Indonesia,Trinitario
Akesson's (Pralus),2010,0.75,Switzerland,2.75,Madagascar,Madagascar,Criollo
Akesson's (Pralus),2010,0.75,Switzerland,2.75,Monte Alegre,Brazil,Forastero
Alain Ducasse,2014,0.65,France,2.75,Trinite,Trinidad,Trinitario
Alain Ducasse,2014,0.75,France,2.75,Vietnam,Vietnam,Trinitario
Alain Ducasse,2014,0.75,France,3.0,Madagascar,Madagascar,Trinitario
Alain Ducasse,2013,0.75,France,2.5,Chuao,Venezuela,Trinitario
Alain Ducasse,2013,0.75,France,2.5,Piura,Peru,Unknown
Alexandre,2017,0.7,Netherlands,3.5,Winak,Ecuador,Forastero
Alexandre,2017,0.7,Netherlands,3.5,La Dalia,Nicaragua,Criollo
Alexandre,2017,0.7,Netherlands,3.5,Tien Giang,Vietnam,Trinitario
Alexandre,2017,0.7,Netherlands,3.5,Makwale Village,Tanzania,Forastero
Altus aka Cao Artisan,2016,0.6,U.S.A.,2.75,Momotombo,Nicaragua,Unknown
Altus aka Cao Artisan,2016,0.6,U.S.A.,3.0,Acopagro,Peru,Unknown
Altus aka Cao Artisan,2016,0.6,U.S.A.,2.5,CIAAB Coop,Bolivia,Unknown
Altus aka Cao Artisan,2016,0.6,U.S.A.,2.5,Villa Andina,Peru,Unknown
Altus aka Cao Artisan,2016,0.6,U.S.A.,2.75,Gruppo Salinas,Ecuador,Unknown
Altus aka Cao Artisan,2013,0.6,U.S.A.,2.5,Sur del Lago,Venezuela,Unknown
Altus aka Cao Artisan,2013,0.6,U.S.A.,3.0,Conacado,Dominican Republic,Trinitario
Altus aka Cao Artisan,2013,0.8,U.S.A.,3.25,Bolivia,Bolivia,Unknown
Altus aka Cao Artisan,2013,0.6,U.S.A.,3.0,Bolivia,Bolivia,Unknown
Altus aka Cao Artisan,2013,0.6,U.S.A.,3.25,Peru,Peru,Unknown
Amano,2011,0.7,U.S.A.,4.0,Morobe,Papua New Guinea,Unknown
Amano,2010,0.7,U.S.A.,3.75,Dos Rios,Dominican Republic,Unknown
Amano,2010,0.7,U.S.A.,4.0,Guayas,Ecuador,Unknown
Amano,2010,0.7,U.S.A.,3.0,Chuao,Venezuela,Trinitario
Amano,2009,0.7,U.S.A.,3.0,Montanya,Venezuela,Unknown
Amano,2008,0.7,U.S.A.,2.75,Bali,Indonesia,Unknown
Amano,2007,0.7,U.S.A.,3.5,Madagascar,Madagascar,Trinitario
Amano,2007,0.7,U.S.A.,3.0,Cuyagua,Venezuela,Unknown
Amano,2007,0.7,U.S.A.,3.75,Ocumare,Venezuela,Criollo
Amatller (Simon Coll),2009,0.7,Spain,3.0,Ghana,Ghana,Forastero
Amatller (Simon Coll),2009,0.7,Spain,2.75,Ecuador,Ecuador,Unknown
Amatller (Simon Coll),2009,0.85,Spain,2.75,Ecuador,Ecuador,Unknown
Amatller (Simon Coll),2009,0.85,Spain,3.0,Ghana,Ghana,Forastero
Ambrosia,2015,0.64,Canada,3.0,Belize,Belize,Trinitario
Ambrosia,2015,0.66,Canada,3.25,Madagascar,Madagascar,Trinitario
Ambrosia,2015,0.75,Canada,3.25,Dominican Republic,Dominican Republic,Unknown
Ambrosia,2015,0.63,Canada,3.25,Papua New Guinea,Papua New Guinea,Unknown
Ambrosia,2015,0.7,Canada,3.25,Venezuela,Venezuela,Unknown
Ambrosia,2015,0.68,Canada,3.5,Peru,Peru,Unknown
Amedei,2012,0.7,Italy,3.75,Piura,Peru,Unknown
Amedei,2007,0.7,Italy,4.0,Porcelana,Venezuela,Criollo
Amedei,2007,0.75,Italy,4.0,Nine,Unknown,Blend
Amedei,2007,0.7,Italy,5.0,Chuao,Venezuela,Trinitario
Amedei,2007,0.7,Italy,3.0,Ecuador,Ecuador,Trinitario
Amedei,2007,0.7,Italy,3.0,Jamaica,Jamaica,Trinitario
Amedei,2007,0.7,Italy,3.5,Grenada,Grenada,Trinitario
Amedei,2007,0.7,Italy,3.75,Venezuela,Venezuela,Trinitario
Amedei,2007,0.7,Italy,4.0,Madagascar,Madagascar,Trinitario
Amedei,2007,0.7,Italy,3.5,Trinidad,Trinidad,Trinitario
Amedei,2007,0.63,Italy,3.5,Toscano Black,Unknown,Blend
Amedei,2006,0.7,Italy,5.0,Toscano Black,Unknown,Blend
Amedei,2006,0.66,Italy,4.0,Toscano Black,Unknown,Blend
AMMA,2013,0.75,Brazil,3.25,Catongo,Brazil,Forastero
AMMA,2010,0.85,Brazil,2.75,Monte Alegre,Brazil,Forastero
AMMA,2010,0.5,Brazil,3.75,Monte Alegre,Brazil,Forastero
AMMA,2010,0.75,Brazil,3.75,Monte Alegre,Brazil,Forastero
AMMA,2010,0.6,Brazil,4.0,Monte Alegre,Brazil,Forastero
Ara,2014,0.75,France,3.0,Madagascar,Madagascar,Trinitario
Ara,2014,0.72,France,2.5,Chiapas,Mexico,Unknown
Ara,2014,0.75,France,2.75,Equateur,Ecuador,Unknown
Ara,2014,0.75,France,3.0,Trincheras,Venezuela,Unknown
Arete,2016,0.7,U.S.A.,3.5,San Juan,Trinidad,Trinitario
Arete,2016,0.7,U.S.A.,3.75,Kokoa Kamili,Tanzania,Unknown
Arete,2016,0.73,U.S.A.,3.5,Tien Giang,Vietnam,Trinitario
Arete,2016,0.7,U.S.A.,3.25,Hacienda Victoria,Ecuador,Unknown
Arete,2016,0.7,U.S.A.,3.25,Costa Esmeraldas,Ecuador,Unknown
Arete,2016,0.7,U.S.A.,3.5,Lachua,Guatemala,Unknown
Arete,2016,0.7,U.S.A.,3.75,Rugoso,Nicaragua,Unknown
Arete,2016,0.7,U.S.A.,3.5,La Masica,Honduras,Unknown
Arete,2016,0.7,U.S.A.,4.0,Cota Brus,Costa Rica,Unknown
Arete,2016,0.7,U.S.A.,4.0,Phantom,Peru,Forastero
Arete,2016,0.7,U.S.A.,3.75,Elvesia,Dominican Republic,Unknown
Arete,2016,0.7,U.S.A.,3.25,Matasawalevu,Fiji,Unknown
Arete,2016,0.73,U.S.A.,3.25,Lam Dong,Vietnam,Unknown
Arete,2015,0.7,U.S.A.,3.5,Fazenda,Brazil,Unknown
Arete,2015,0.68,U.S.A.,3.5,Nacional,Peru,Forastero
Arete,2015,0.7,U.S.A.,3.75,Puerto Quito,Ecuador,Forastero
Arete,2015,0.7,U.S.A.,3.5,Oko Caribe,Dominican Republic,Unknown
Arete,2015,0.7,U.S.A.,3.75,Maya,Belize,Trinitario
Arete,2015,0.7,U.S.A.,4.0,Chuno,Nicaragua,Criollo
Arete,2015,0.75,U.S.A.,2.75,Fazenda,Brazil,Unknown
Arete,2015,0.7,U.S.A.,3.25,Guatemala,Guatemala,Unknown
Arete,2015,0.75,U.S.A.,3.5,Camino Verde,Ecuador,Unknown
Artisan du Chocolat,2013,0.72,U.K.,3.25,Trinidad,Trinidad,Trinitario
Artisan du Chocolat,2012,0.72,U.K.,3.75,Colombia,Colombia,Unknown
Artisan du Chocolat,2011,0.72,U.K.,4.0,Haiti,Haiti,Unknown
Artisan du Chocolat,2011,0.72,U.K.,2.75,Panama,Panama,Unknown
Artisan du Chocolat,2010,1.0,U.K.,1.75,Venezuela,Venezuela,Unknown
Artisan du Chocolat,2010,0.72,U.K.,3.75,Jamaica,Jamaica,Trinitario
Artisan du Chocolat,2010,0.72,U.K.,3.25,Costa Rica,Costa Rica,Unknown
Artisan du Chocolat,2010,0.72,U.K.,3.25,Ba Ria,Vietnam,Trinitario
Artisan du Chocolat,2010,0.72,U.K.,3.5,Bali,Indonesia,Unknown
Artisan du Chocolat,2009,0.75,U.K.,2.5,Ocumare,Venezuela,Criollo
Artisan du Chocolat,2009,0.72,U.K.,2.75,Java,Indonesia,Trinitario
Artisan du Chocolat,2009,0.72,U.K.,1.75,Brazil,Brazil,Unknown
Artisan du Chocolat,2009,0.8,U.K.,3.0,Madagascar,Madagascar,Criollo
Artisan du Chocolat,2009,0.75,U.K.,3.0,Peru,Peru,Criollo
Artisan du Chocolat,2009,0.72,U.K.,3.25,Dominican Republic,Dominican Republic,Trinitario
Artisan du Chocolat,2008,0.72,U.K.,3.75,Congo,Congo,Forastero
Askinosie,2016,0.68,U.S.A.,3.75,Mababa,Tanzania,Trinitario
Askinosie,2011,0.72,U.S.A.,3.75,Tenende,Tanzania,Trinitario
Askinosie,2011,0.7,U.S.A.,3.75,Cortes,Honduras,Trinitario
Askinosie,2009,0.77,U.S.A.,3.75,Davao,Philippines,Trinitario
Askinosie,2007,0.75,U.S.A.,2.5,Xoconusco,Mexico,Trinitario
Askinosie,2007,0.7,U.S.A.,3.0,San Jose,Ecuador,Forastero
Bahen & Co.,2015,0.8,Australia,3.25,House Blend,Unknown,Unknown
Bahen & Co.,2015,0.7,Australia,3.5,Papua New Guinea,Papua New Guinea,Unknown
Bahen & Co.,2012,0.7,Australia,3.0,Sambirano,Madagascar,Trinitario
Bahen & Co.,2012,0.7,Australia,2.5,Bahia,Brazil,Unknown
Bahen & Co.,2012,0.7,Australia,2.5,House Blend,Unknown,Blend
Bar Au Chocolat,2015,0.7,U.S.A.,3.5,Bahia,Brazil,Unknown
Bar Au Chocolat,2014,0.7,U.S.A.,4.0,Maranon,Peru,Forastero
Bar Au Chocolat,2012,0.7,U.S.A.,3.25,Duarte,Dominican Republic,Unknown
Bar Au Chocolat,2012,0.7,U.S.A.,3.5,Chiapas,Mexico,Unknown
Bar Au Chocolat,2012,0.7,U.S.A.,3.75,Sambirano,Madagascar,Trinitario
Batch,2016,0.65,U.S.A.,3.5,Dominican Republic,Dominican Republic,Unknown
Batch,2016,0.7,U.S.A.,3.75,Brazil,Brazil,Unknown
Batch,2016,0.65,U.S.A.,3.25,Ecuador,Ecuador,Unknown
Beehive,2016,0.8,U.S.A.,2.75,Brazil,Brazil,Unknown
Beehive,2016,0.7,U.S.A.,2.75,Dominican Republic,Dominican Republic,Unknown
Beehive,2016,0.7,U.S.A.,2.75,Ecuador,Ecuador,Unknown
Beehive,2016,0.9,U.S.A.,2.75,Ecuador,Ecuador,Unknown
Belcolade,2010,0.64,Belgium,2.75,Costa Rica,Costa Rica,Unknown
Belcolade,2010,0.64,Belgium,2.75,Papua New Guinea,Papua New Guinea,Unknown
Belcolade,2010,0.64,Belgium,2.75,Peru,Peru,Unknown
Belcolade,2010,0.71,Belgium,3.5,Ecuador,Ecuador,Unknown
Bellflower,2016,0.7,U.S.A.,3.5,Kakao Kamili,Tanzania,Criollo
Bellflower,2016,0.7,U.S.A.,3.25,Alto Beni,Bolivia,Unknown
Bellflower,2016,0.7,U.S.A.,3.5,Oko Caribe,Dominican Republic,Unknown
Belyzium,2016,0.83,Germany,2.75,Belize,Belize,Trinitario
Belyzium,2016,0.78,Germany,3.0,Belize,Belize,Trinitario
Belyzium,2016,0.83,Germany,3.5,Belize,Belize,Trinitario
Benoit Nihant,2013,0.74,Belgium,3.5,Baracoa,Cuba,Trinitario
Benoit Nihant,2013,0.74,Belgium,3.5,Chuao,Venezuela,Criollo
Benoit Nihant,2013,0.74,Belgium,3.5,Cuyagua,Venezuela,Criollo
Benoit Nihant,2013,0.73,Belgium,4.0,Rio,Ecuador,Trinitario
Benoit Nihant,2011,0.72,Belgium,4.0,Bali,Indonesia,Trinitario
Benoit Nihant,2011,0.72,Belgium,3.75,Somia,Madagascar,Trinitario
Beschle (Felchlin),2011,0.64,Switzerland,3.0,Madagascar,Madagascar,Trinitario
Beschle (Felchlin),2011,0.88,Switzerland,3.0,Maracaibo,Venezuela,Criollo
Beschle (Felchlin),2011,0.72,Switzerland,3.5,Indigena Amazonia,Venezuela,Unknown
Beschle (Felchlin),2011,0.72,Switzerland,4.0,Ecuador,Ecuador,Unknown
Beschle (Felchlin),2010,0.7,Switzerland,3.25,Carenero,Venezuela,Trinitario
Beschle (Felchlin),2010,0.74,Switzerland,3.25,Porcelana,Venezuela,Criollo
Beschle (Felchlin),2010,0.64,Switzerland,3.5,Java,Indonesia,Unknown
Beschle (Felchlin),2010,0.72,Switzerland,3.5,Ocumare,Venezuela,Unknown
Bisou,2015,0.76,U.S.A.,2.5,Nicaragua,Nicaragua,Unknown
Bisou,2015,0.76,U.S.A.,2.5,San Andres,Costa Rica,Unknown
Bisou,2015,0.78,U.S.A.,2.5,San Andres,Costa Rica,Unknown
Bisou,2015,0.86,U.S.A.,3.25,Belize,Belize,Trinitario
Bittersweet Origins,2012,0.72,U.S.A.,3.5,Ghana,Ghana,Forastero
Bittersweet Origins,2010,0.75,U.S.A.,3.25,Bali,Indonesia,Unknown
Bittersweet Origins,2010,0.7,U.S.A.,3.75,2009 Hapa Nibby,Dominican Republic,Blend
Bittersweet Origins,2010,0.65,U.S.A.,2.75,Bali,Indonesia,Unknown
Bittersweet Origins,2010,0.7,U.S.A.,3.0,Sambirano,Madagascar,Trinitario
Bittersweet Origins,2010,0.78,U.S.A.,3.0,Ocumare,Venezuela,Criollo
Bittersweet Origins,2009,0.75,U.S.A.,3.0,Puerto Plata,Dominican Republic,Unknown
Bittersweet Origins,2009,0.65,U.S.A.,3.5,Puerto Plata,Dominican Republic,Unknown
Bittersweet Origins,2009,0.75,U.S.A.,3.25,Sambirano,Madagascar,Trinitario
Bittersweet Origins,2009,0.65,U.S.A.,3.5,Sambirano,Madagascar,Trinitario
Bittersweet Origins,2008,0.71,U.S.A.,3.0,Sambirano,Madagascar,Trinitario
Bittersweet Origins,2008,0.75,U.S.A.,3.5,Bocas del Toro,Panama,Unknown
Bittersweet Origins,2008,0.68,U.S.A.,3.75,Puerto Plata,Dominican Republic,Unknown
Bittersweet Origins,2008,0.7,U.S.A.,3.0,Ankasa,Ghana,Forastero
Black Mountain,2008,0.7,U.S.A.,2.75,La Red,Dominican Republic,Unknown
Black Mountain,2008,0.7,U.S.A.,2.75,Carenero,Venezuela,Trinitario
Black Mountain,2008,0.7,U.S.A.,3.0,Matiguas,Nicaragua,Unknown
Blue Bandana,2016,0.82,U.S.A.,3.5,Akesson,Madagascar,Trinitario
Blue Bandana,2016,0.75,U.S.A.,2.75,Lachua,Guatemala,Unknown
Blue Bandana,2016,0.75,U.S.A.,3.5,Kokoa Kamili,Tanzania,Unknown
Blue Bandana,2016,0.75,U.S.A.,3.0,Zorzal Reserva,Dominican Republic,Unknown
Blue Bandana,2012,0.7,U.S.A.,3.5,Guatemala,Guatemala,Unknown
Blue Bandana,2012,0.7,U.S.A.,3.75,Madagascar,Madagascar,Trinitario
Bonnat,2016,0.75,France,3.5,Selva,Mexico,Unknown
Bonnat,2014,0.75,France,4.0,Kaori,Brazil,Unknown
Bonnat,2014,0.75,France,3.25,Los Colorados,Dominican Republic,Unknown
Bonnat,2014,0.65,France,3.75,Surfin,Venezuela,Unknown
Bonnat,2013,0.75,France,3.5,Maragnam,Brazil,Unknown
Bonnat,2013,0.75,France,3.25,Gabon,Gabon,Unknown
Bonnat,2011,0.75,France,3.5,Cuba,Cuba,Trinitario
Bonnat,2011,0.75,France,3.5,Cusco,Peru,Unknown
Bonnat,2011,0.75,France,3.5,Piura,Peru,Forastero
Bonnat,2011,0.75,France,3.75,Libanio,Brazil,Unknown
Bonnat,2011,0.75,France,4.0,Haiti,Haiti,Unknown
Bonnat,2011,0.75,France,4.0,Madagascar,Madagascar,Criollo
Bonnat,2011,0.75,France,3.5,Juliana,Brazil,Unknown
Bonnat,2011,0.75,France,3.25,Jamaica,Jamaica,Trinitario
Bonnat,2009,0.75,France,3.0,Ivory Coast,Ivory Coast,Unknown
Bonnat,2009,0.75,France,2.75,Porcelana,Peru,Criollo
Bonnat,2009,0.75,France,3.0,Porcelana,Mexico,Criollo
Bonnat,2009,0.75,France,3.0,Xoconusco,Mexico,Criollo
Bonnat,2008,0.75,France,4.0,Porcelana,Venezuela,Criollo
Bonnat,2007,0.75,France,2.5,Equateur,Ecuador,Forastero
Bonnat,2006,0.75,France,3.75,Trinite,Carribean,Trinitario
Bonnat,2006,0.75,France,4.0,Ocumare,Venezuela,Unknown
Bonnat,2006,0.75,France,4.0,Maracaibo,Venezuela,Criollo
Bonnat,2006,0.75,France,4.0,Madagascar,Madagascar,Trinitario
Bonnat,2006,1.0,France,1.5,One Hundred,Unknown,Unknown
Bonnat,2006,0.75,France,3.0,Ceylan,Sri Lanka,Unknown
Bonnat,2006,0.75,France,4.0,Chuao,Venezuela,Trinitario
Brasstown aka It's Chocolate,2016,0.7,U.S.A.,3.5,Guasare,Venezuela,Criollo
Brasstown aka It's Chocolate,2016,0.7,U.S.A.,3.75,Opayo,Nicaragua,Unknown
Brasstown aka It's Chocolate,2015,0.68,U.S.A.,3.75,Conacado,Dominican Republic,Unknown
Brasstown aka It's Chocolate,2014,0.7,U.S.A.,3.75,Maya,Belize,Trinitario
Brasstown aka It's Chocolate,2014,0.7,U.S.A.,4.0,Chuao,Venezuela,Trinitario
Brasstown aka It's Chocolate,2013,0.72,U.S.A.,3.0,Cooproagro,Dominican Republic,Trinitario
Brasstown aka It's Chocolate,2013,0.7,U.S.A.,3.25,Camino Verde,Ecuador,Unknown
Brasstown aka It's Chocolate,2013,0.75,U.S.A.,3.5,Ghana,Ghana,Forastero
Brasstown aka It's Chocolate,2013,0.85,U.S.A.,3.5,Chuao,Venezuela,Trinitario
Brazen,2015,0.6,U.S.A.,3.0,Elvesia,Dominican Republic,Unknown
Brazen,2015,0.8,U.S.A.,3.25,Elvesia,Dominican Republic,Unknown
Brazen,2015,0.7,U.S.A.,3.5,Alta Verapaz,Guatemala,Unknown
Brazen,2015,0.8,U.S.A.,2.75,Ambolikapiky,Madagascar,Unknown
Brazen,2015,0.8,U.S.A.,3.25,Maya,Belize,Trinitario
Brazen,2015,0.6,U.S.A.,3.25,Ambolikapiky,Madagascar,Unknown
Bright,2014,0.72,Australia,3.0,Somia,Madagascar,Trinitario
Bright,2014,0.7,Australia,3.5,Mara,Dominican Republic,Unknown
Bright,2014,0.72,Australia,3.5,Camino Verde,Ecuador,Unknown
Bright,2014,0.68,Australia,2.75,Gran Couva,Trinidad,Trinitario
Burnt Fork Bend,2014,0.72,U.S.A.,3.25,Trinidad,Trinidad,Trinitario
Burnt Fork Bend,2014,0.72,U.S.A.,3.5,Mindo,Ecuador,Unknown
Burnt Fork Bend,2014,0.72,U.S.A.,3.25,Belize,Belize,Trinitario
Burnt Fork Bend,2014,0.72,U.S.A.,3.25,Blend,Unknown,Blend
Burnt Fork Bend,2014,0.6,U.S.A.,2.5,Ecuador,Ecuador,Unknown
Cacao Atlanta,2014,0.75,U.S.A.,2.5,Tumbes,Peru,Criollo
Cacao Atlanta,2010,0.75,U.S.A.,2.5,Dominican Republic,Dominican Republic,Unknown
Cacao Atlanta,2010,0.75,U.S.A.,2.75,Dominican Republic,Dominican Republic,Unknown
Cacao Atlanta,2010,0.75,U.S.A.,2.25,Patanemo,Venezuela,Unknown
Cacao Barry,2016,0.65,France,3.5,Grand 'Anse,Haiti,Trinitario
Cacao Barry,2010,0.7,France,3.0,Santo Domingo,Dominican Republic,Unknown
Cacao Barry,2008,0.75,France,2.0,Tanzania,Tanzania,Unknown
Cacao Barry,2007,0.72,France,2.0,Venezuela,Venezuela,Unknown
Cacao Barry,2007,0.66,France,3.0,Mexico,Mexico,Unknown
Cacao de Origen,2015,0.77,Venezuela,3.5,Chuao,Venezuela,Trinitario
Cacao de Origen,2015,0.75,Venezuela,3.25,Rio,Venezuela,Trinitario
Cacao de Origen,2014,0.75,Venezuela,2.5,Agua Fria; Sucre region,Venezuela,Unknown
Cacao de Origen,2014,0.74,Venezuela,3.25,Macuare,Venezuela,Unknown
Cacao de Origen,2014,0.75,Venezuela,3.5,Chuao,Venezuela,Trinitario
Cacao de Origen,2014,0.7,Venezuela,3.75,Chuao,Venezuela,Trinitario
Cacao Hunters,2016,0.71,Colombia,3.75,Macondo,Colombia,Unknown
Cacao Hunters,2016,0.74,Colombia,3.75,Perla Negra,Colombia,Unknown
Cacao Hunters,2015,0.72,Colombia,3.75,Arhuacos,Colombia,Unknown
Cacao Hunters,2014,0.64,Colombia,3.5,Sierra Nevada,Colombia,Unknown
Cacao Hunters,2014,0.7,Colombia,3.5,Tumaco,Colombia,Unknown
Cacao Hunters,2014,0.69,Colombia,2.75,Boyaca,Colombia,Unknown
Cacao Hunters,2014,0.7,Colombia,3.25,Arauca,Colombia,Unknown
Cacao Prieto,2012,0.72,U.S.A.,3.75,Criollo,Dominican Republic,Criollo
Cacao Prieto,2011,0.72,U.S.A.,3.0,Dominican Republic,Dominican Republic,Unknown
Cacao Prieto,2011,0.66,U.S.A.,3.75,Dominican Republic,Dominican Republic,Unknown
Cacao Prieto,2011,0.65,U.S.A.,3.25,Dominican Republic,Dominican Republic,Unknown
Cacao Sampaka,2016,0.7,Spain,3.5,Mahali,Congo,Criollo
Cacao Sampaka,2010,0.71,Spain,3.5,Madagascar,Madagascar,Trinitario
Cacao Sampaka,2010,0.71,Spain,3.75,Ecuador,Ecuador,Unknown
Cacao Sampaka,2010,0.71,Spain,4.0,Papua New Guinea,Papua New Guinea,Unknown
Cacao Sampaka,2010,0.71,Spain,3.25,Grenada,Grenada,Trinitario
Cacao Sampaka,2010,0.71,Spain,3.5,Venezuela,Venezuela,Unknown
Cacao Sampaka,2010,0.77,Spain,3.5,Venezuela,Venezuela,Unknown
Cacao Sampaka,2009,0.7,Spain,4.0,Porcelana,Mexico,Criollo
Cacao Sampaka,2009,0.7,Spain,4.0,Xoconusco,Mexico,Criollo
Cacao Store,2015,0.7,Japan,3.0,Madagascar,Madagascar,Trinitario
Cacao Store,2015,0.7,Japan,3.25,Peru,Peru,Unknown
Cacao Store,2015,0.7,Japan,3.5,Vietnam,Vietnam,Trinitario
Cacaoyere (Ecuatoriana),2008,0.63,Ecuador,3.5,Amazonas,Ecuador,Forastero
Cacaoyere (Ecuatoriana),2008,0.71,Ecuador,3.5,Esmeraldas,Ecuador,Forastero
Cacaoyere (Ecuatoriana),2008,0.82,Ecuador,2.5,Bolivar,Ecuador,Forastero
Cacaoyere (Ecuatoriana),2008,0.91,Ecuador,1.5,Pichincha,Ecuador,Forastero
C-Amaro,2014,0.75,Italy,2.5,Cuba,Cuba,Unknown
C-Amaro,2014,0.72,Italy,3.0,Dominican Republic,Dominican Republic,Unknown
C-Amaro,2014,0.7,Italy,3.5,Lago di Como,Unknown,Blend
C-Amaro,2013,1.0,Italy,3.5,Ecuador,Ecuador,Unknown
C-Amaro,2012,0.8,Italy,3.0,Venezuela,Venezuela,Unknown
C-Amaro,2011,0.78,Italy,2.25,Sao Tome,Sao Tome,Forastero
C-Amaro,2011,0.7,Italy,2.5,Trinidad,Trinidad,Trinitario
